Venue,Venue Address,Object ID,Latitude,Longitude
Huntington Beach Municipal Pier,"325 Pacific Coast Highway, Huntington Beach, CA 92648",1,33.65480928,-118.0044437
LA Live,"800 W Olympic BLVD, Los Angeles, CA 90089",2,34.04538926,-118.2658292
USC Dedeaux Stadium,"1021 Childs Way, Los Angeles, CA 900089",3,34.02228028,-118.289556
LA Memorial Coliseum,"3911 S. Figueroa st, Los Angeles, CA 90089",4,34.01339656,-118.2828118
Galen Center,"3400 S. Figueroa st, Los Angeles, CA 90089",5,34.02183464,-118.2799483
LA Stadium and Entertainment District,"1001 Stadium Drive, Inglewood, CA 90301",6,33.95354957,-118.339106
Intuit Dome,"3939 W 102nd st, Inglewood, CA 90303",7,33.94432848,-118.3430655
Rose Bowl Stadium,"1001 Rose Bowl Dr, Pasadena, CA 91103",8,34.16178961,-118.1667879
Dignity Health Sports Park,"18400 Avalon Blvd, Carson, CA 90746",9,33.8639352,-118.2617677
Long Beach Marine Stadium,"5255 Paoli way, Long Beach, CA 90803",10,33.76836676,-118.1299578
Belmont Shore,"3998 E Allin St, Long Beach, CA 90803",11,33.7587325,-118.1494703
Riviera Country Club,"1250 Capri Drive, Los Angeles, CA 90272",12,34.04697561,-118.5008379
Honda Center,"2695 E Katella Ave, Anaheim, CA 92806",13,33.80865522,-117.8765001
Dodger Stadium,"1000 Vin Scully Ave, Los Angeles, CA 90012",14,34.07453885,-118.2404242
Frank G Bonelli Regional Park,"120 Via Verde, San Dimas, CA 91773",15,34.07763835,-117.8101999
Prado Regional park,"16700 Euclid Ave, Chino, Ca 91708",16,33.94613738,-117.6500633
Long Beach Convention Center,"300 E Ocean blvd, Long Beach, CA 90802",17,33.76418505,-118.1882146
Santa Monica State Beach,Ocean ave at colorado ave santa monica ca 90401,18,34.01161904,-118.4995331
Gloria Molina Grand Park,"200 N Grand Ave, Los Angeles, 90012",19,34.05647011,-118.2471004
Sepulveda Basin Sports Complex,"6301 Balboa Blvd, Encino, Ca 91316",20,34.18304768,-118.5020677
