Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,avg_commute_min,occupied_units,no_veh,percent_no_veh,workers_over16,public_transport,ratio_pub_trans
06037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",06,037,101110,34,1596,123,0.08,1927,46,0.02
06037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",06,037,101122,41,1256,7,0.01,1907,7,0.00
06037101210,14000US06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",06,037,101210,28,2321,287,0.12,2770,95,0.03
06037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",06,037,101220,30,1294,113,0.09,1513,55,0.04
06037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",06,037,101300,36,1435,66,0.05,2041,86,0.04
06037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",06,037,101400,35,1473,121,0.08,1791,58,0.03
06037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",06,037,102103,27,696,8,0.01,801,0,0.00
06037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",06,037,102104,30,1270,83,0.07,1599,58,0.04
06037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",06,037,102105,25,563,8,0.01,1032,36,0.03
06037102107,14000US06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",06,037,102107,31,1305,51,0.04,2044,0,0.00
06037103101,14000US06037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",06,037,103101,36,916,10,0.01,1201,0,0.00
06037103102,14000US06037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",06,037,103102,36,1568,69,0.04,2335,68,0.03
06037103200,14000US06037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",06,037,103200,34,2274,143,0.06,2876,0,0.00
06037103300,14000US06037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",06,037,103300,35,1225,26,0.02,1720,37,0.02
06037103400,14000US06037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",06,037,103400,29,2432,82,0.03,2946,54,0.02
06037104103,14000US06037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",06,037,104103,28,845,20,0.02,1731,37,0.02
06037104105,14000US06037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",06,037,104105,32,1673,155,0.09,2300,268,0.12
06037104108,14000US06037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",06,037,104108,33,1421,203,0.14,2421,161,0.07
06037104124,14000US06037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",06,037,104124,37,1260,24,0.02,1766,168,0.10
06037104201,14000US06037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",06,037,104201,33,919,27,0.03,1817,122,0.07
06037104203,14000US06037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",06,037,104203,33,1145,133,0.12,2352,129,0.05
06037104204,14000US06037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",06,037,104204,33,730,46,0.06,1406,37,0.03
06037104310,14000US06037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",06,037,104310,29,879,52,0.06,2442,60,0.02
06037104320,14000US06037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",06,037,104320,28,1326,170,0.13,2360,108,0.05
